row,col,plot
8,22,809
8,23,808
8,24,807
8,25,806
8,26,805
8,27,804
8,28,803
8,29,802
8,30,801
8,31,1790
8,32,1789
8,33,1788
8,34,1787
8,35,1786
8,36,1785
8,37,1784
8,38,1783
8,39,1782
8,40,1781
8,41,1780
8,42,1779
8,43,1778
8,44,1777
8,45,1776
8,46,2015
8,47,2014
8,48,2013
8,49,2012
8,50,2011
8,51,2010
8,52,2009
8,53,2008
8,54,2007
8,55,2006
8,56,2005
8,57,2004
8,58,2003
8,59,2002
8,60,2001
8,61,2990
8,62,2989
8,63,2988
8,64,2987
8,65,2986
8,66,2985
8,67,2984
8,68,2983
8,69,2982
8,70,2981
8,71,2980
8,72,2979
8,73,2978
8,74,2977
8,75,2976
8,76,3215
8,77,3214
8,78,3213
8,79,3212
8,80,3211
8,81,3210
8,82,3209
8,83,3208
8,84,3207
8,85,3206
8,86,3205
8,87,3204
8,88,3203
8,89,3202
8,90,3201
8,91,BORLAUG 100
8,92,BORLAUG 100
8,93,BORLAUG 100
8,94,BORLAUG 100
8,95,9456
8,96,9455
8,97,9454
8,98,9453
8,99,9452
8,100,9451
8,101,9450
8,102,9449
8,103,9448
8,104,9447
8,105,9446
9,1,561
9,2,562
9,3,563
9,4,564
9,5,565
9,6,566
9,7,567
9,8,568
9,9,569
9,10,570
9,11,571
9,12,572
9,13,573
9,14,574
9,15,575
9,16,816
9,17,817
9,18,818
9,19,819
9,20,820
9,21,821
9,22,822
9,23,823
9,24,824
9,25,825
9,26,826
9,27,827
9,28,828
9,29,829
9,30,830
9,31,1761
9,32,1762
9,33,1763
9,34,1764
9,35,1765
9,36,1766
9,37,1767
9,38,1768
9,39,1769
9,40,1770
9,41,1771
9,42,1772
9,43,1773
9,44,1774
9,45,1775
9,46,2016
9,47,2017
9,48,2018
9,49,2019
9,50,2020
9,51,2021
9,52,2022
9,53,2023
9,54,2024
9,55,2025
9,56,2026
9,57,2027
9,58,2028
9,59,2029
9,60,2030
9,61,2961
9,62,2962
9,63,2963
9,64,2964
9,65,2965
9,66,2966
9,67,2967
9,68,2968
9,69,2969
9,70,2970
9,71,2971
9,72,2972
9,73,2973
9,74,2974
9,75,2975
9,76,3216
9,77,3217
9,78,3218
9,79,3219
9,80,3220
9,81,3221
9,82,3222
9,83,3223
9,84,3224
9,85,3225
9,86,3226
